gene,spatial_score,method
IGKC,0.74681604,Manual Moran's I
PAH,0.74266547,Manual Moran's I
DES,0.7426323,Manual Moran's I
IGHM,0.7381019,Manual Moran's I
SLC22A8,0.7376923,Manual Moran's I
ALB,0.73134154,Manual Moran's I
ALDOB,0.7246608,Manual Moran's I
RBP4,0.7232853,Manual Moran's I
UMOD,0.70886433,Manual Moran's I
MYH11,0.70379704,Manual Moran's I
SLC12A3,0.6982047,Manual Moran's I
JCHAIN,0.68858093,Manual Moran's I
REN,0.688575,Manual Moran's I
SLC4A4,0.6878761,Manual Moran's I
PTGDS,0.6853837,Manual Moran's I
PRODH2,0.6778843,Manual Moran's I
CPE,0.67654485,Manual Moran's I
SLC36A2,0.6733265,Manual Moran's I
TAGLN,0.6711533,Manual Moran's I
GPX3,0.67023826,Manual Moran's I
APOE,0.6665606,Manual Moran's I
MYL9,0.6665024,Manual Moran's I
UGT1A9,0.6628096,Manual Moran's I
IGHG1,0.6606153,Manual Moran's I
SLC7A8,0.6603875,Manual Moran's I
MT-ND6,0.6586197,Manual Moran's I
HPD,0.656608,Manual Moran's I
PCK1,0.6558046,Manual Moran's I
CNN1,0.65476364,Manual Moran's I
SLC5A12,0.65088224,Manual Moran's I
MIOX,0.6485758,Manual Moran's I
IGHA1,0.64814425,Manual Moran's I
ANK2,0.64799535,Manual Moran's I
MGP,0.64582634,Manual Moran's I
SPP1,0.6443765,Manual Moran's I
SLPI,0.6428072,Manual Moran's I
TPM2,0.6393546,Manual Moran's I
ASS1,0.63917243,Manual Moran's I
MT-ATP6,0.63485134,Manual Moran's I
NPHS2,0.63297725,Manual Moran's I
FABP1,0.6312976,Manual Moran's I
ECHS1,0.62785804,Manual Moran's I
IGFBP5,0.6274278,Manual Moran's I
SLC13A3,0.62106824,Manual Moran's I
FXYD2,0.62055075,Manual Moran's I
SLC12A1,0.6205194,Manual Moran's I
ACY1,0.6194309,Manual Moran's I
SLC3A1,0.6189868,Manual Moran's I
MT-CO2,0.6187909,Manual Moran's I
FBP1,0.6187724,Manual Moran's I
ATP1B1,0.61560136,Manual Moran's I
PRELP,0.6155769,Manual Moran's I
KHK,0.6149402,Manual Moran's I
C7,0.61414266,Manual Moran's I
CA2,0.61237097,Manual Moran's I
FAM151A,0.6122961,Manual Moran's I
SLC34A1,0.6107987,Manual Moran's I
VWF,0.6107811,Manual Moran's I
SLC47A2,0.6105437,Manual Moran's I
C1R,0.6102516,Manual Moran's I
PRAP1,0.6101836,Manual Moran's I
CALD1,0.60909784,Manual Moran's I
SUCLG1,0.608478,Manual Moran's I
PCK2,0.60795295,Manual Moran's I
TIMP3,0.60708094,Manual Moran's I
BHMT2,0.6060095,Manual Moran's I
IL7R,0.60569406,Manual Moran's I
ACTA2,0.60565305,Manual Moran's I
CD74,0.6050036,Manual Moran's I
ALDH1L1,0.6049466,Manual Moran's I
IL1RL1,0.6032299,Manual Moran's I
MT-ND4,0.6018624,Manual Moran's I
SPARC,0.600048,Manual Moran's I
ALDH6A1,0.59871644,Manual Moran's I
DCXR,0.5972896,Manual Moran's I
MZB1,0.597109,Manual Moran's I
CYB5A,0.59682924,Manual Moran's I
WDR72,0.59629786,Manual Moran's I
PDZK1IP1,0.5958866,Manual Moran's I
SHMT1,0.5952629,Manual Moran's I
TXNDC5,0.59418774,Manual Moran's I
MT-ND4L,0.5937201,Manual Moran's I
DCN,0.59094965,Manual Moran's I
MT-CO3,0.59086466,Manual Moran's I
FN1,0.59075487,Manual Moran's I
CMBL,0.5903635,Manual Moran's I
ACTB,0.59030867,Manual Moran's I
PLN,0.58922875,Manual Moran's I
RAB11FIP3,0.58876824,Manual Moran's I
SMIM24,0.587201,Manual Moran's I
AFM,0.585685,Manual Moran's I
S100A1,0.5843611,Manual Moran's I
ENPEP,0.5842907,Manual Moran's I
C1S,0.5841851,Manual Moran's I
GATM,0.5838094,Manual Moran's I
CUBN,0.58232015,Manual Moran's I
BGN,0.58220744,Manual Moran's I
C1QC,0.58214474,Manual Moran's I
SLC7A7,0.581751,Manual Moran's I
ACSM2B,0.58152217,Manual Moran's I
